failed_accession	gene_names	PWM_annotation_level	primary_structural_status	canonical_reference_accession	canonical_reference_status	action_for_baldo	database_display_recommendation	manual_review_required	classification_confidence	decision_reason
F6X9D6	RFX5	Identical_PWM	UNCERTAIN_MANUAL_REVIEW		NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
G3V0H1	SOX5	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW	P35711	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
G3V289	FOS	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW	P01100	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
G3V302	MAX	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW	Q8TAX8	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
G3V447	ZBTB1	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW		NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
H0Y797	TEF	Identical_PWM	ACCESSION_LACKS_DBD	Q10587	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
H0Y7E5	SREBF2	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW	Q12772	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
H0YG25	ETV6	Identical_PWM	ACCESSION_LACKS_DBD	A0A0S2Z3C9	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
H0YGT3	ESRRA	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW	F5H0E9	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
H0YNG1	POU2F2	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW	U3KQ96	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
H2BNB9	ETV6;INO80D	Identical_PWM	UNCERTAIN_MANUAL_REVIEW		NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
H7C4N4	TFAP2A	Identical_PWM	VALID_DBD_FRAGMENT_MODEL		NOT_APPLICABLE	NO_SEND_USE_EXISTING_DBD_FRAGMENT	DISPLAY_ACCESSION_DNA_STRUCTURE_AVAILABLE_DRAFT	NO	HIGH	Reviewed expected-DBD Pfam fragment was sent and has a nonempty protein-DNA interface. PWM/database inclusion is not changed by this structural recommendation.
I3L0A5	SOX5	Homologous_PWM	ACCESSION_LACKS_DBD	P35711	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
K7ELF3	TCF3	Identical_PWM	UNCERTAIN_MANUAL_REVIEW	K7ENH8	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
K7EMD1	SREBF1	Identical_PWM	ACCESSION_LACKS_DBD	P36956	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
K7ENI0	TCF3	Identical_PWM	UNCERTAIN_MANUAL_REVIEW	K7ENH8	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
O14593	RFXANK ANKRA1 RFXB	Identical_PWM	COFACTOR_OR_NON_DNA_BINDING_COMPONENT		NOT_APPLICABLE	NO_SEND_MARK_DNA_STRUCTURE_UNAVAILABLE	DISPLAY_NON_DNA_BINDING_COMPONENT_NO_DNA_STRUCTURE	NO	HIGH	Reviewed domain evidence supports a non-DNA-binding cofactor or complex component, not an accession DBD. PWM/database inclusion is not changed by this structural recommendation.
O75780	PPARA	Homologous_PWM	ACCESSION_LACKS_DBD	Q07869	CANONICAL_REFERENCE_FOUND_NOT_VALIDATED	NO_SEND_MARK_DNA_STRUCTURE_UNAVAILABLE	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
Q13951	CBFB	Identical_PWM	COFACTOR_OR_NON_DNA_BINDING_COMPONENT		NOT_APPLICABLE	NO_SEND_MARK_DNA_STRUCTURE_UNAVAILABLE	DISPLAY_NON_DNA_BINDING_COMPONENT_NO_DNA_STRUCTURE	NO	HIGH	Reviewed domain evidence supports a non-DNA-binding cofactor or complex component, not an accession DBD. PWM/database inclusion is not changed by this structural recommendation.
Q59EB9	ZFX	Homologous_PWM	ACCESSION_LACKS_DBD	B7ZKJ5	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
Q59EF3	TEAD1	Identical_PWM	UNCERTAIN_MANUAL_REVIEW	H0YE88	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
Q5T4K9	CREB3L4	Identical_PWM	ACCESSION_LACKS_DBD	Q8TEY5	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
Q5T4L2	CREB3L4	Homologous_PWM	ACCESSION_LACKS_DBD	Q8TEY5	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
Q5VVR5	TCF7L2	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW	H0YEE5	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
Q68D60	DKFZp686N2325	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW		NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
Q6L9M1	PPARG	Identical_PWM	UNCERTAIN_MANUAL_REVIEW	Q4W4C7	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
Q6NZ39	LMX1A hCG_21707	Identical_PWM	ACCESSION_LACKS_DBD	Q8TE12	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
Q709A9	TFEB	Identical_PWM	UNCERTAIN_MANUAL_REVIEW	A0A7I2YQR9	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
Q86VD4	CREB3L2	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW	Q70SY1	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
Q8NHZ2	ZFX	Homologous_PWM	ACCESSION_LACKS_DBD	B7ZKJ5	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
Q8NHZ3	ZFX	Homologous_PWM	ACCESSION_LACKS_DBD	B7ZKJ5	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
Q8NHZ4	ZFX	Homologous_PWM	ACCESSION_LACKS_DBD	B7ZKJ5	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
Q8NHZ5	ZFX	Homologous_PWM	ACCESSION_LACKS_DBD	B7ZKJ5	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
Q8WXB8	ZFX	Homologous_PWM	ACCESSION_LACKS_DBD	B7ZKJ5	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
Q8WXB9	ZFX	Homologous_PWM	ACCESSION_LACKS_DBD	B7ZKJ5	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
Q96QL7	ATF6B	Homologous_PWM	ACCESSION_LACKS_DBD	Q6AZW6	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
Q9Y2W8	ESR1	Identical_PWM	ACCESSION_LACKS_DBD	P03372	CANONICAL_REFERENCE_FOUND_NOT_VALIDATED	NO_SEND_MARK_DNA_STRUCTURE_UNAVAILABLE	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
X5D8U0	ARNT2	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW	X5DRE4	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
