TF_name	TF_family	Identical_PWM	Homologous_PWM	Relatively_Homologous_PWM	ModCRE	AlphaFold	Best_annotation_level	Best_PWM_or_model	N_nonempty_annotation_columns
A0A9E8DG70	RRM_1,RRM_6,Hormone_recep,DUF1993,RRM_5,zf-C4	MA1553.1					Identical_PWM	MA1553.1	1
A0A9L9PX76	TFIIF_beta						Unannotated		0
A0A9L9PXL4	HMG_box,DUF1898,BAH,Bromodomain				TFS_tr_A0A9L9PXL4_A0A9L9PXL4_HUMAN:212:280_8hai_K_1.meme;TFS_tr_A0A9L9PXL4_A0A9L9PXL4_HUMAN:212:280_8hak_N_1.meme;TFS_tr_A0A9L9PXL4_A0A9L9PXL4_HUMAN:212:280_8hag_K_1.meme;TFS_tr_A0A9L9PXL4_A0A9L9PXL4_HUMAN:212:280_7w9v_K_1.meme		ModCRE	TFS_tr_A0A9L9PXL4_A0A9L9PXL4_HUMAN:212:280_8hai_K_1.meme;TFS_tr_A0A9L9PXL4_A0A9L9PXL4_HUMAN:212:280_8hak_N_1.meme;TFS_tr_A0A9L9PXL4_A0A9L9PXL4_HUMAN:212:280_8hag_K_1.meme;TFS_tr_A0A9L9PXL4_A0A9L9PXL4_HUMAN:212:280_7w9v_K_1.meme	1
A0A9L9PXU6	Pax2_C,HTH_Tnp_IS1,Ribosomal_S13_N,Homeobox,HTH_32,HTH_29,HTH_23,PAX	M03294_2.00					Identical_PWM	M03294_2.00	1
A0A9L9PYK3	Pax2_C,HTH_Tnp_IS1,Ribosomal_S13_N,Homeobox,HTH_32,HTH_29,HTH_23,PAX		M02425_2.00 (86.2%);M02426_2.00 (75.3%);M02690_2.00 (95.6%);M03294_2.00 (94.4%);M03945_2.00 (72.7%);M03947_2.00 (71.8%);MA0014.1 (70.4%);MA0014.2 (72.9%);MA0067.1 (92.8%);MA0781.1 (72.5%)				Homologous_PWM	M02425_2.00 (86.2%);M02426_2.00 (75.3%);M02690_2.00 (95.6%);M03294_2.00 (94.4%);M03945_2.00 (72.7%);M03947_2.00 (71.8%);MA0014.1 (70.4%);MA0014.2 (72.9%);MA0067.1 (92.8%);MA0781.1 (72.5%)	1
A0AA34QVR9	HAP1_N,Striatin,DivIC,PspA_IM30,TMF_DNA_bd,Jun,bZIP_Maf,FlaC_arch,bZIP_2,DUF904,Seryl_tRNA_N,Jnk-SapK_ap_N,bZIP_1,DUF3450	MA0099.2					Identical_PWM	MA0099.2	1
A0AA34QVS9	zf-C2H2_4,zf-RING_3,zf-C2H2,zf-CHCC,zf-C2H2_jaz,MSA-2c,zf-met,zf-H2C2_2,zf-C2HC_2,Pex14_N,zf-C2H2_6		M08090_2.00 (90.2%);MA1125.1 (94.9%)				Homologous_PWM	M08090_2.00 (90.2%);MA1125.1 (94.9%)	1
A0AA34QVT6	zf-C2H2_4,zf-C2H2,Zn_ribbon_recom,zf-C2H2_jaz,XPA_N,zf-H2C2_2,Yippee,GAGA,A2L_zn_ribbon,C1_4,TFIIS_C,zf-AN1,HTH_Tnp_ISL3,Zn_Tnp_IS1595,DUF2321,zf-Mss51,zf-C2H2_6,C1_2,Prok-RING_1,DUF2688,Tnp_zf-ribbon_2,ZZ,GATA,DNA_RNApol_7kD,zf-trcl,CxxC_CxxC_SSSS,CpXC,Ribosomal_L44			M00149_2.00 (57.9%);M00217_2.00 (50.0%);M00764_2.00 (58.2%);M00774_2.00 (52.2%);M00782_2.00 (61.8%);M00785_2.00 (52.4%);M00786_2.00 (50.6%);M00939_2.00 (63.0%);M00943_2.00 (63.5%);M00944_2.00 (64.2%);M00945_2.00 (50.5%);M00948_2.00 (62.3%);M00950_2.00 (62.3%);M00952_2.00 (66.6%);M00953_2.00 (63.0%);M00955_2.00 (63.5%);M00958_2.00 (62.3%);M00959_2.00 (62.3%);M00960_2.00 (64.7%);M02913_2.00 (52.9%);M02924_2.00 (55.5%);M03682_2.00 (50.0%);M04387_2.00 (58.0%);M04465_2.00 (56.5%);M04475_2.00 (51.2%);M04505_2.00 (55.7%);M04536_2.00 (50.6%);M04598_2.00 (60.9%);M04610_2.00 (52.8%);M04611_2.00 (56.8%);M04613_2.00 (55.7%);M04621_2.00 (57.8%);M04650_2.00 (57.2%);M04653_2.00 (60.3%);M05853_2.00 (55.8%);M07562_2.00 (53.6%);M07567_2.00 (56.9%);M07578_2.00 (58.5%);M07581_2.00 (58.9%);M07582_2.00 (52.3%);M07586_2.00 (50.9%);M07587_2.00 (60.1%);M07588_2.00 (59.8%);M07590_2.00 (58.2%);M07593_2.00 (59.4%);M07595_2.00 (57.5%);M07598_2.00 (61.8%);M07601_2.00 (52.2%);M07605_2.00 (57.5%);M07607_2.00 (51.5%);M07610_2.00 (57.5%);M07618_2.00 (51.8%);M07635_2.00 (61.4%);M07638_2.00 (55.9%);M07646_2.00 (55.3%);M07649_2.00 (58.7%);M07650_2.00 (53.6%);M07660_2.00 (55.0%);M07667_2.00 (56.0%);M07678_2.00 (58.9%);M07680_2.00 (51.6%);M07683_2.00 (57.5%);M07685_2.00 (51.4%);M07686_2.00 (54.7%);M07688_2.00 (50.0%);M07689_2.00 (63.0%);M07693_2.00 (59.7%);M07699_2.00 (55.4%);M07700_2.00 (63.0%);M07701_2.00 (50.0%);M07707_2.00 (62.8%);M07712_2.00 (56.7%);M07714_2.00 (58.5%);M07715_2.00 (53.4%);M07727_2.00 (50.0%);M07729_2.00 (56.2%);M07740_2.00 (55.1%);M07753_2.00 (58.9%);M07754_2.00 (51.2%);M07761_2.00 (53.2%);M07762_2.00 (60.7%);M07764_2.00 (53.4%);M07770_2.00 (53.5%);M07777_2.00 (59.3%);M08247_2.00 (58.2%);M08252_2.00 (58.2%);M08254_2.00 (55.4%);M08255_2.00 (57.5%);M08256_2.00 (56.7%);M08267_2.00 (62.0%);M08274_2.00 (55.8%);M08279_2.00 (56.9%);M08283_2.00 (50.0%);M08291_2.00 (56.7%);M08292_2.00 (58.2%);M08300_2.00 (54.4%);M08309_2.00 (55.5%);M08311_2.00 (58.0%);M08314_2.00 (58.9%);M08325_2.00 (59.1%);M08329_2.00 (59.4%);M08334_2.00 (62.8%);M08335_2.00 (61.7%);M08342_2.00 (59.0%);M08347_2.00 (61.4%);M08355_2.00 (61.1%);M08357_2.00 (57.2%);M08366_2.00 (56.4%);M08367_2.00 (53.4%);M08371_2.00 (63.5%);M08373_2.00 (56.5%);M08375_2.00 (58.5%);M08386_2.00 (55.4%);M08392_2.00 (53.3%);M08395_2.00 (59.4%);M08399_2.00 (53.3%);M08860_2.00 (56.7%);M08901_2.00 (52.1%);M08914_2.00 (51.9%);M08917_2.00 (59.6%);M08934_2.00 (57.5%);M08944_2.00 (59.8%);M08985_2.00 (66.2%);MA0056.1 (54.0%);MA1124.1 (59.6%);MA1154.1 (50.3%);MA1587.1 (64.8%);MA1589.1 (57.8%);MA1592.1 (52.8%);MA1594.1 (58.2%);MA1596.1 (50.0%);MA1597.1 (50.8%);MA1600.1 (56.7%);MA1601.1 (57.5%);MA1602.1 (56.4%);MA1652.1 (52.7%);MA1656.1 (51.6%)			Relatively_Homologous_PWM	M00149_2.00 (57.9%);M00217_2.00 (50.0%);M00764_2.00 (58.2%);M00774_2.00 (52.2%);M00782_2.00 (61.8%);M00785_2.00 (52.4%);M00786_2.00 (50.6%);M00939_2.00 (63.0%);M00943_2.00 (63.5%);M00944_2.00 (64.2%);M00945_2.00 (50.5%);M00948_2.00 (62.3%);M00950_2.00 (62.3%);M00952_2.00 (66.6%);M00953_2.00 (63.0%);M00955_2.00 (63.5%);M00958_2.00 (62.3%);M00959_2.00 (62.3%);M00960_2.00 (64.7%);M02913_2.00 (52.9%);M02924_2.00 (55.5%);M03682_2.00 (50.0%);M04387_2.00 (58.0%);M04465_2.00 (56.5%);M04475_2.00 (51.2%);M04505_2.00 (55.7%);M04536_2.00 (50.6%);M04598_2.00 (60.9%);M04610_2.00 (52.8%);M04611_2.00 (56.8%);M04613_2.00 (55.7%);M04621_2.00 (57.8%);M04650_2.00 (57.2%);M04653_2.00 (60.3%);M05853_2.00 (55.8%);M07562_2.00 (53.6%);M07567_2.00 (56.9%);M07578_2.00 (58.5%);M07581_2.00 (58.9%);M07582_2.00 (52.3%);M07586_2.00 (50.9%);M07587_2.00 (60.1%);M07588_2.00 (59.8%);M07590_2.00 (58.2%);M07593_2.00 (59.4%);M07595_2.00 (57.5%);M07598_2.00 (61.8%);M07601_2.00 (52.2%);M07605_2.00 (57.5%);M07607_2.00 (51.5%);M07610_2.00 (57.5%);M07618_2.00 (51.8%);M07635_2.00 (61.4%);M07638_2.00 (55.9%);M07646_2.00 (55.3%);M07649_2.00 (58.7%);M07650_2.00 (53.6%);M07660_2.00 (55.0%);M07667_2.00 (56.0%);M07678_2.00 (58.9%);M07680_2.00 (51.6%);M07683_2.00 (57.5%);M07685_2.00 (51.4%);M07686_2.00 (54.7%);M07688_2.00 (50.0%);M07689_2.00 (63.0%);M07693_2.00 (59.7%);M07699_2.00 (55.4%);M07700_2.00 (63.0%);M07701_2.00 (50.0%);M07707_2.00 (62.8%);M07712_2.00 (56.7%);M07714_2.00 (58.5%);M07715_2.00 (53.4%);M07727_2.00 (50.0%);M07729_2.00 (56.2%);M07740_2.00 (55.1%);M07753_2.00 (58.9%);M07754_2.00 (51.2%);M07761_2.00 (53.2%);M07762_2.00 (60.7%);M07764_2.00 (53.4%);M07770_2.00 (53.5%);M07777_2.00 (59.3%);M08247_2.00 (58.2%);M08252_2.00 (58.2%);M08254_2.00 (55.4%);M08255_2.00 (57.5%);M08256_2.00 (56.7%);M08267_2.00 (62.0%);M08274_2.00 (55.8%);M08279_2.00 (56.9%);M08283_2.00 (50.0%);M08291_2.00 (56.7%);M08292_2.00 (58.2%);M08300_2.00 (54.4%);M08309_2.00 (55.5%);M08311_2.00 (58.0%);M08314_2.00 (58.9%);M08325_2.00 (59.1%);M08329_2.00 (59.4%);M08334_2.00 (62.8%);M08335_2.00 (61.7%);M08342_2.00 (59.0%);M08347_2.00 (61.4%);M08355_2.00 (61.1%);M08357_2.00 (57.2%);M08366_2.00 (56.4%);M08367_2.00 (53.4%);M08371_2.00 (63.5%);M08373_2.00 (56.5%);M08375_2.00 (58.5%);M08386_2.00 (55.4%);M08392_2.00 (53.3%);M08395_2.00 (59.4%);M08399_2.00 (53.3%);M08860_2.00 (56.7%);M08901_2.00 (52.1%);M08914_2.00 (51.9%);M08917_2.00 (59.6%);M08934_2.00 (57.5%);M08944_2.00 (59.8%);M08985_2.00 (66.2%);MA0056.1 (54.0%);MA1124.1 (59.6%);MA1154.1 (50.3%);MA1587.1 (64.8%);MA1589.1 (57.8%);MA1592.1 (52.8%);MA1594.1 (58.2%);MA1596.1 (50.0%);MA1597.1 (50.8%);MA1600.1 (56.7%);MA1601.1 (57.5%);MA1602.1 (56.4%);MA1652.1 (52.7%);MA1656.1 (51.6%)	1
A0AA34QVX2	HLH	MA0596.1					Identical_PWM	MA0596.1	1
A0AA75I0P0	Menin					a0aa75i0p0.af3.0.meme;a0aa75i0p0.af3.1.meme;a0aa75i0p0.af3.2.meme;a0aa75i0p0.af3.5.meme;a0aa75i0p0.af3.4.meme;a0aa75i0p0.af3.3.meme	AlphaFold	a0aa75i0p0.af3.0.meme;a0aa75i0p0.af3.1.meme;a0aa75i0p0.af3.2.meme;a0aa75i0p0.af3.5.meme;a0aa75i0p0.af3.4.meme;a0aa75i0p0.af3.3.meme	1
A0AA96HC68	Fork_head		M03034_2.00 (72.7%);M04827_2.00 (72.3%);M04848_2.00 (99.7%);MA0033.1 (70.0%);MA1607.1 (94.9%)				Homologous_PWM	M03034_2.00 (72.7%);M04827_2.00 (72.3%);M04848_2.00 (99.7%);MA0033.1 (70.0%);MA1607.1 (94.9%)	1
A0AAA9Y9D9	Cdc6_C,RFX_DNA_binding,Pox_D5,DUF3233	M05730_2.00					Identical_PWM	M05730_2.00	1
A0AAA9YHI0	HMG_box,DUF1898,Sox_N		M00197_2.00 (88.8%);M03533_2.00 (72.7%);M03537_2.00 (84.6%);MA0442.1 (84.6%);MA0868.1 (98.2%)				Homologous_PWM	M00197_2.00 (88.8%);M03533_2.00 (72.7%);M03537_2.00 (84.6%);MA0442.1 (84.6%);MA0868.1 (98.2%)	1
A0AAA9YHK5	Ets	MA0080.1					Identical_PWM	MA0080.1	1
A0AAA9YHN4	HMG_box,DUF1898,Sox_N,MAT_Alpha1		M00197_2.00 (88.9%);M03537_2.00 (76.2%);MA0077.1 (74.2%);MA0442.1 (76.2%);MA0868.1 (93.5%)				Homologous_PWM	M00197_2.00 (88.9%);M03537_2.00 (76.2%);MA0077.1 (74.2%);MA0442.1 (76.2%);MA0868.1 (93.5%)	1
A0AAA9YHR6	zf-C2H2_4,C1_4,zf-C2H2,NuA4,DUF2688,C1_3,zf-C2H2_jaz,KRAB,XPA_N,zf-met,zf-H2C2_2,CxxC_CxxC_SSSS,Yippee,HTH_Tnp_ISL3,Zn_Tnp_IS1595,HTH_18,zf-C2H2_6	M08887_2.00					Identical_PWM	M08887_2.00	1
A0AAA9YHU3	HMG_box,DUF1898,Sox_N	MA0868.1					Identical_PWM	MA0868.1	1
A0AAF0YZ08	HIF-1,HIF-1a_CTAD,PAS,HLH,PAS_3,PAS_9,PAS_4		M08713_2.00 (99.7%);MA0259.1 (99.7%)				Homologous_PWM	M08713_2.00 (99.7%);MA0259.1 (99.7%)	1
A0AAG2TIR3	zf-C2H2_4,zf-C2H2,Raffinose_syn,KRAB,zf-H2C2_2,zf-Sec23_Sec24,GAGA		M07763_2.00 (98.3%)				Homologous_PWM	M07763_2.00 (98.3%)	1
A0AAG2TJ73	IRF,IRF-3		MA0653.1 (96.6%)				Homologous_PWM	MA0653.1 (96.6%)	1
A0AAG2TKU2	zf-C2H2_4,zf-C2H2,KRAB,XPA_N,zf-H2C2_2,zf-Sec23_Sec24,GAGA,DUF3198		M07763_2.00 (93.3%)				Homologous_PWM	M07763_2.00 (93.3%)	1
A0AAG2TLJ2	IRF	MA0653.1					Identical_PWM	MA0653.1	1
A0AAG2TMI8	zf-C2H2_4,zf-C2H2,KRAB,zf-H2C2_2,zf-Sec23_Sec24,GAGA		M07763_2.00 (98.6%)				Homologous_PWM	M07763_2.00 (98.6%)	1
A0AAG2UW58	Homeobox,Homeobox_KN,Homez	MA0879.1					Identical_PWM	MA0879.1	1
A0AAG2UW84	Fork_head		M00798_2.00 (94.0%);M03050_2.00 (90.5%);MA0849.1 (83.8%)				Homologous_PWM	M00798_2.00 (94.0%);M03050_2.00 (90.5%);MA0849.1 (83.8%)	1
A0AAG2UWQ9	dsrm,DUF3469,R3H,G-patch_2,G-patch					a0aag2uwq9.af3.3.meme;a0aag2uwq9.af3.2.meme;a0aag2uwq9.af3.4.meme;a0aag2uwq9.af3.5.meme;a0aag2uwq9.af3.0.meme;a0aag2uwq9.af3.1.meme	AlphaFold	a0aag2uwq9.af3.3.meme;a0aag2uwq9.af3.2.meme;a0aag2uwq9.af3.4.meme;a0aag2uwq9.af3.5.meme;a0aag2uwq9.af3.0.meme;a0aag2uwq9.af3.1.meme	1
A0AAQ5BGJ6	Homeobox_KN,Homeobox,HTH_32,HTH_23,Pax7,PAX	MA0680.1					Identical_PWM	MA0680.1	1
A0AAQ5BGK0	Homeobox_KN,Homeobox,HTH_32,HTH_23,Pax7,PAX		M00354_2.00 (78.1%);M00402_2.00 (72.5%);M02425_2.00 (71.8%);M03076_2.00 (71.2%);M03236_2.00 (70.4%);M03278_2.00 (75.0%);M03294_2.00 (72.3%);M03876_2.00 (71.1%);M03945_2.00 (71.5%);M04917_2.00 (75.0%);M05419_2.00 (93.4%);M05685_2.00 (70.0%);M06322_2.00 (74.6%);M06326_2.00 (72.3%);M06370_2.00 (74.1%);M10741_2.00 (75.0%);MA0067.1 (72.6%);MA0634.1 (72.5%);MA0680.1 (94.0%);MA0713.1 (73.8%);MA0779.1 (73.8%);MA0780.1 (72.4%);MA0781.1 (73.8%);MA0853.1 (75.0%);MA0854.1 (75.0%);MA0874.1 (71.2%);MA0883.1 (70.4%);MA1481.1 (72.5%)				Homologous_PWM	M00354_2.00 (78.1%);M00402_2.00 (72.5%);M02425_2.00 (71.8%);M03076_2.00 (71.2%);M03236_2.00 (70.4%);M03278_2.00 (75.0%);M03294_2.00 (72.3%);M03876_2.00 (71.1%);M03945_2.00 (71.5%);M04917_2.00 (75.0%);M05419_2.00 (93.4%);M05685_2.00 (70.0%);M06322_2.00 (74.6%);M06326_2.00 (72.3%);M06370_2.00 (74.1%);M10741_2.00 (75.0%);MA0067.1 (72.6%);MA0634.1 (72.5%);MA0680.1 (94.0%);MA0713.1 (73.8%);MA0779.1 (73.8%);MA0780.1 (72.4%);MA0781.1 (73.8%);MA0853.1 (75.0%);MA0854.1 (75.0%);MA0874.1 (71.2%);MA0883.1 (70.4%);MA1481.1 (72.5%)	1
A0AAQ5BH24	Rb_C,RB_A,TFIIB,DUF3452,RB_B				TFS_tr_A0AAQ5BH24_A0AAQ5BH24_HUMAN:60:105_4roe_A_1.meme;TFS_tr_A0AAQ5BH24_A0AAQ5BH24_HUMAN:60:105_4rod_A_1.meme;TFS_tr_A0AAQ5BH24_A0AAQ5BH24_HUMAN:60:105_8ity_V_1.meme;TFS_tr_A0AAQ5BH24_A0AAQ5BH24_HUMAN:60:105_8iue_V_1.meme		ModCRE	TFS_tr_A0AAQ5BH24_A0AAQ5BH24_HUMAN:60:105_4roe_A_1.meme;TFS_tr_A0AAQ5BH24_A0AAQ5BH24_HUMAN:60:105_4rod_A_1.meme;TFS_tr_A0AAQ5BH24_A0AAQ5BH24_HUMAN:60:105_8ity_V_1.meme;TFS_tr_A0AAQ5BH24_A0AAQ5BH24_HUMAN:60:105_8iue_V_1.meme	1
A0AAQ5BH52	Rb_C,RB_A,TFIIB,DUF3452,RB_B				TFS_tr_A0AAQ5BH52_A0AAQ5BH52_HUMAN:60:105_4roe_A_1.meme;TFS_tr_A0AAQ5BH52_A0AAQ5BH52_HUMAN:60:105_8ity_V_1.meme;TFS_tr_A0AAQ5BH52_A0AAQ5BH52_HUMAN:60:105_4rod_A_1.meme;TFS_tr_A0AAQ5BH52_A0AAQ5BH52_HUMAN:60:105_8iue_V_1.meme		ModCRE	TFS_tr_A0AAQ5BH52_A0AAQ5BH52_HUMAN:60:105_4roe_A_1.meme;TFS_tr_A0AAQ5BH52_A0AAQ5BH52_HUMAN:60:105_8ity_V_1.meme;TFS_tr_A0AAQ5BH52_A0AAQ5BH52_HUMAN:60:105_4rod_A_1.meme;TFS_tr_A0AAQ5BH52_A0AAQ5BH52_HUMAN:60:105_8iue_V_1.meme	1
A0AAQ5BHQ0	IRF-3,Prefoldin,MH2,MH1		MA0513.1 (86.9%);MA1153.1 (86.5%)				Homologous_PWM	MA0513.1 (86.9%);MA1153.1 (86.5%)	1
A0AAQ5BHQ2	DUF1955,NusB,MH1,Glycos_transf_N	MA1153.1					Identical_PWM	MA1153.1	1
A0AAQ5BHR1	STAT_int,NPV_P10,STAT_bind,STAT_alpha,CRC_subunit		M11361_2.00 (99.7%);MA0518.1 (94.3%)				Homologous_PWM	M11361_2.00 (99.7%);MA0518.1 (94.3%)	1
A0AAQ5BHS1	zf-C2H2_4,zf-C2H2,zf-C2H2_jaz,zf-met,zf-H2C2_2,FYDLN_acid,zf-C2H2_6,zf-C4_ClpX		M06068_2.00 (76.1%)				Homologous_PWM	M06068_2.00 (76.1%)	1
A0AAQ5BHS5	IRF-3,Prefoldin,MH2,MH1	MA0513.1					Identical_PWM	MA0513.1	1
A0AAQ5BHS9	MH2,MH1	MA0513.1					Identical_PWM	MA0513.1	1
A0AAQ5BHT7	DUF1955,NusB,MH1,Ded_cyto,Prefoldin,Glycos_transf_N	MA1153.1					Identical_PWM	MA1153.1	1
A0AAQ5BHU0	MH2,MH1	MA0513.1					Identical_PWM	MA0513.1	1
A0AAQ5BHU1	DUF1955,NusB,MH1,Glycos_transf_N	MA0513.1					Identical_PWM	MA0513.1	1
A0AAQ5BHU2	IRF-3,MH2,MH1		MA0513.1 (97.6%);MA1153.1 (96.1%)				Homologous_PWM	MA0513.1 (97.6%);MA1153.1 (96.1%)	1
A0AAQ5BHU9	DUF1955,NusB,MH1,Glycos_transf_N	MA1153.1					Identical_PWM	MA1153.1	1
A0AAQ5BHV1	IRF-3,MH2,MH1		MA0513.1 (98.3%);MA1153.1 (96.9%)				Homologous_PWM	MA0513.1 (98.3%);MA1153.1 (96.9%)	1
A0AAQ5BHV2	IRF-3,MH2,MH1		MA0513.1 (95.5%);MA1153.1 (93.9%)				Homologous_PWM	MA0513.1 (95.5%);MA1153.1 (93.9%)	1
A0AAQ5BHV5	IRF-3,MH2,MH1		MA0513.1 (98.1%);MA1153.1 (96.5%)				Homologous_PWM	MA0513.1 (98.1%);MA1153.1 (96.5%)	1
A0AAQ5BHW2	MH2,MH1		MA0513.1 (86.2%);MA1153.1 (84.7%)				Homologous_PWM	MA0513.1 (86.2%);MA1153.1 (84.7%)	1
A0AAQ5BHW3	STAT_int,NPV_P10,STAT_bind,STAT_alpha,CRC_subunit,SH2	M11361_2.00					Identical_PWM	M11361_2.00	1
A0AAQ5BHX1	HisKA_2,STAT_alpha,STAT_int,STAT_bind	M11365_2.00					Identical_PWM	M11365_2.00	1
A0AAQ5BHX5	P53_tetramer,P53,DEC-1_N,P53_TAD	MA0106.1					Identical_PWM	MA0106.1	1
A0AAQ5BHY1	P53_tetramer,P53,DEC-1_N	MA0106.1					Identical_PWM	MA0106.1	1
A0AAQ5BHY6	IRF-3,MH2,MH1		MA0513.1 (95.3%);MA1153.1 (93.7%)				Homologous_PWM	MA0513.1 (95.3%);MA1153.1 (93.7%)	1
A0AAQ5BHZ6	DUF1955,MH1,Glycos_transf_N	MA1153.1					Identical_PWM	MA1153.1	1
A0AAQ5BHZ9	P53_tetramer,P53,DEC-1_N,P53_TAD	MA0106.1					Identical_PWM	MA0106.1	1
A0AAQ5BI40	STAT_alpha,STAT_int,STAT_bind	M11365_2.00					Identical_PWM	M11365_2.00	1
A0AAQ5BIG2	RRM_1,RRM_6,RRM_5,zf-RanBP					a0aaq5big2.af3.0.meme;a0aaq5big2.af3.3.meme;a0aaq5big2.af3.2.meme;a0aaq5big2.af3.1.meme	AlphaFold	a0aaq5big2.af3.0.meme;a0aaq5big2.af3.3.meme;a0aaq5big2.af3.2.meme;a0aaq5big2.af3.1.meme	1
A0AAQ5BIH9	zf-C2H2_4,zf-C2H2,zf-C2H2_jaz,KRAB,zf-met,zf-H2C2_2,zf-C2H2_6			M01439_2.00 (51.1%);M08908_2.00 (52.6%);M08955_2.00 (50.0%)			Relatively_Homologous_PWM	M01439_2.00 (51.1%);M08908_2.00 (52.6%);M08955_2.00 (50.0%)	1
A0AAQ5BIJ6	zf-C2H2_4,C1_4,zf-C2H2,TFIIS_C,DNA_RNApol_7kD,C1_3,zf-C2H2_jaz,zf-AN1,KRAB,XPA_N,ZZ,zf-H2C2_2,CxxC_CxxC_SSSS,Yippee,HTH_Tnp_ISL3,Zn_Tnp_IS1595,MBD,zf-C2H2_6		M00944_2.00 (70.2%);M00953_2.00 (71.7%)				Homologous_PWM	M00944_2.00 (70.2%);M00953_2.00 (71.7%)	1
A0AAU7P1G8	Fork_head		M00164_2.00 (77.0%);M01974_2.00 (70.5%);M01982_2.00 (91.8%);M01990_2.00 (72.8%);M03034_2.00 (83.0%);M10571_2.00 (82.4%);MA0032.1 (99.8%);MA0033.1 (76.0%);MA0148.1 (72.4%)				Homologous_PWM	M00164_2.00 (77.0%);M01974_2.00 (70.5%);M01982_2.00 (91.8%);M01990_2.00 (72.8%);M03034_2.00 (83.0%);M10571_2.00 (82.4%);MA0032.1 (99.8%);MA0033.1 (76.0%);MA0148.1 (72.4%)	1
A0AUX1	zf-C2H2_4,C1_4,zf-C2H2,zf-C2H2_jaz,KRAB,zf-H2C2_2,Siva,HTH_18,Zn_Tnp_IS1595,zf-H2C2_5,zf-C2H2_6,BolA		M08263_2.00 (99.8%)				Homologous_PWM	M08263_2.00 (99.8%)	1
A0AV05	zf-C2H2_4,zf-C2H2,Prok-RING_1,DNA_RNApol_7kD,zf-C2H2_jaz,KRAB,XPA_N,zf-H2C2_2,CxxC_CxxC_SSSS,Zn_Tnp_IS1595,FYDLN_acid,zf-C2H2_6,LIM			M00782_2.00 (50.4%);M00939_2.00 (55.2%);M00943_2.00 (55.2%);M00944_2.00 (56.4%);M00945_2.00 (50.5%);M00948_2.00 (55.2%);M00950_2.00 (57.6%);M00952_2.00 (55.2%);M00953_2.00 (56.4%);M00955_2.00 (56.4%);M00958_2.00 (55.9%);M00959_2.00 (56.4%);M00960_2.00 (58.8%);M01474_2.00 (52.6%);M02924_2.00 (53.0%);M04387_2.00 (55.5%);M04465_2.00 (51.4%);M04598_2.00 (54.3%);M07562_2.00 (54.1%);M07579_2.00 (50.4%);M08255_2.00 (51.0%);M08325_2.00 (52.8%);M08347_2.00 (50.9%);M08355_2.00 (51.2%);M08901_2.00 (50.3%);M08985_2.00 (57.8%);MA0516.1 (50.0%);MA1124.1 (55.5%)			Relatively_Homologous_PWM	M00782_2.00 (50.4%);M00939_2.00 (55.2%);M00943_2.00 (55.2%);M00944_2.00 (56.4%);M00945_2.00 (50.5%);M00948_2.00 (55.2%);M00950_2.00 (57.6%);M00952_2.00 (55.2%);M00953_2.00 (56.4%);M00955_2.00 (56.4%);M00958_2.00 (55.9%);M00959_2.00 (56.4%);M00960_2.00 (58.8%);M01474_2.00 (52.6%);M02924_2.00 (53.0%);M04387_2.00 (55.5%);M04465_2.00 (51.4%);M04598_2.00 (54.3%);M07562_2.00 (54.1%);M07579_2.00 (50.4%);M08255_2.00 (51.0%);M08325_2.00 (52.8%);M08347_2.00 (50.9%);M08355_2.00 (51.2%);M08901_2.00 (50.3%);M08985_2.00 (57.8%);MA0516.1 (50.0%);MA1124.1 (55.5%)	1
A0AVK6	TrmB,UPF0122,E2F_TDP,B-block_TFIIIC	MA0865.1					Identical_PWM	MA0865.1	1
A0JLQ9	STAT_int,STAT_bind,LXG,STAT_alpha,CorA		M08019_2.00 (99.8%);MA0517.1 (99.1%);MA1623.1 (73.8%)				Homologous_PWM	M08019_2.00 (99.8%);MA0517.1 (99.1%);MA1623.1 (73.8%)	1
A0JLS9	zf-C2H2_4,zf-C2H2,zf-C2H2_jaz,DUF1610,zf-met,zf-H2C2_2,Homeobox,zf-C2H2_6		M05844_2.00 (87.5%);M07842_2.00 (98.9%);MA0103.1 (87.7%);MA0103.2 (99.9%)				Homologous_PWM	M05844_2.00 (87.5%);M07842_2.00 (98.9%);MA0103.1 (87.7%);MA0103.2 (99.9%)	1
A0JNV5	zf-C2H2_4,C1_4,zf-C2H2,zf-C2H2_jaz,KRAB,zf-met2,zf-H2C2_2,CxxC_CxxC_SSSS,HTH_Tnp_ISL3,Zn_Tnp_IS1595,zf-C2H2_6,BolA		M08949_2.00 (99.7%)				Homologous_PWM	M08949_2.00 (99.7%)	1
